ID	clone	condition	replicate
RNA_410_r6	410	WT	r1
RNA_410_r7	410	WT	r2
RNA_410_r8	410	WT	r3
RNA_439_r7	439	MCM2_2A	r1
RNA_439_r8	439	MCM2_2A	r2
RNA_439_r9	439	MCM2_2A	r3
RNA_550_r1	550	POLE4_KO	r1
RNA_550_r2	550	POLE4_KO	r2
RNA_550_r3	550	POLE4_KO	r3
RNA_551_r1	551	POLE4_KO	r1
RNA_551_r2	551	POLE4_KO	r2
RNA_551_r3	551	POLE4_KO	r3
RNA_552_r1	552	POLE4_KO	r1
RNA_552_r2	552	POLE4_KO	r2
RNA_552_r3	552	POLE4_KO	r3
