sample	file	clone	mark	timepoint	replicate	condition	project	ID
442_H3K27ac_T1_r5_R1	data/SCAR_seq/MCM2/rfd_files/442_H3K27ac_T1_r5_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H3K27ac	T1	r5	MCM2-2A	MCM2	442_H3K27ac_T1_r5_R1
442_H3K27ac_T3_r4_R1	data/SCAR_seq/MCM2/rfd_files/442_H3K27ac_T3_r4_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H3K27ac	T3	r4	MCM2-2A	MCM2	442_H3K27ac_T3_r4_R1
442_H3K27ac_T3_r5_R1	data/SCAR_seq/MCM2/rfd_files/442_H3K27ac_T3_r5_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H3K27ac	T3	r5	MCM2-2A	MCM2	442_H3K27ac_T3_r5_R1
442_H3K27ac_T8_r4_R1	data/SCAR_seq/MCM2/rfd_files/442_H3K27ac_T8_r4_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H3K27ac	T8	r4	MCM2-2A	MCM2	442_H3K27ac_T8_r4_R1
442_H3K27ac_T8_r5_R1	data/SCAR_seq/MCM2/rfd_files/442_H3K27ac_T8_r5_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H3K27ac	T8	r5	MCM2-2A	MCM2	442_H3K27ac_T8_r5_R1
410_H3K27me3_X_T0_r1_R1	data/SCAR_seq/Crosslinked/rfd_files/410_H3K27me3_X_T0_r1_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T0	r1	WT	Crosslinked	410_H3K27me3_X_T0_r1_R1
410_H3K27me3_X_T0_r2_R1	data/SCAR_seq/Crosslinked/rfd_files/410_H3K27me3_X_T0_r2_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T0	r2	WT	Crosslinked	410_H3K27me3_X_T0_r2_R1
410_SUZ12_X_T0_r1_R1	data/SCAR_seq/Crosslinked/rfd_files/410_SUZ12_X_T0_r1_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	SUZ12	T0	r1	WT	Crosslinked	410_SUZ12_X_T0_r1_R1
410_SUZ12_X_T0_r2_R1	data/SCAR_seq/Crosslinked/rfd_files/410_SUZ12_X_T0_r2_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	SUZ12	T0	r2	WT	Crosslinked	410_SUZ12_X_T0_r2_R1
439_H3K27me3_X_T0_r1_R1	data/SCAR_seq/Crosslinked/rfd_files/439_H3K27me3_X_T0_r1_R1.nodup.mm10_PE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	439	H3K27me3	T0	r1	MCM2-2A	Crosslinked	439_H3K27me3_X_T0_r1_R1
