sample	file	clone	mark	timepoint	replicate	condition	project	ID
410_H4K20me0_T0_r2_R1	data/SCAR_seq/Rescue/rfd_files/410_H4K20me0_T0_r2_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H4K20me0	T0	r2	WT	Rescue	410_H4K20me0_T0_r2_R1
423_H3K27me3_T0_r1_R1	data/SCAR_seq/Rescue/rfd_files/423_H3K27me3_T0_r1_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	423	H3K27me3	T0	r1	MCM2-Y90A	Rescue	423_H3K27me3_T0_r1_R1
423_H3K27me3_T0_r2_R1	data/SCAR_seq/Rescue/rfd_files/423_H3K27me3_T0_r2_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	423	H3K27me3	T0	r2	MCM2-Y90A	Rescue	423_H3K27me3_T0_r2_R1
423_H4K20me0_T0_r1_R1	data/SCAR_seq/Rescue/rfd_files/423_H4K20me0_T0_r1_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	423	H4K20me0	T0	r1	MCM2-Y90A	Rescue	423_H4K20me0_T0_r1_R1
423_H4K20me0_T0_r2_R1	data/SCAR_seq/Rescue/rfd_files/423_H4K20me0_T0_r2_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	423	H4K20me0	T0	r2	MCM2-Y90A	Rescue	423_H4K20me0_T0_r2_R1
442_H3K27me3_T0_r1_R1	data/SCAR_seq/Rescue/rfd_files/442_H3K27me3_T0_r1_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H3K27me3	T0	r1	MCM2-2A	Rescue	442_H3K27me3_T0_r1_R1
442_H3K27me3_T0_r2_R1	data/SCAR_seq/Rescue/rfd_files/442_H3K27me3_T0_r2_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H3K27me3	T0	r2	MCM2-2A	Rescue	442_H3K27me3_T0_r2_R1
442_H4K20me0_T0_r1_R1	data/SCAR_seq/Rescue/rfd_files/442_H4K20me0_T0_r1_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H4K20me0	T0	r1	MCM2-2A	Rescue	442_H4K20me0_T0_r1_R1
442_H4K20me0_T0_r2_R1	data/SCAR_seq/Rescue/rfd_files/442_H4K20me0_T0_r2_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	442	H4K20me0	T0	r2	MCM2-2A	Rescue	442_H4K20me0_T0_r2_R1
588_H3K27me3_T0_r1_R1	data/SCAR_seq/Rescue/rfd_files/588_H3K27me3_T0_r1_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	588	H3K27me3	T0	r1	MCM2-2A-R	Rescue	588_H3K27me3_T0_r1_R1
588_H3K27me3_T0_r2_R1	data/SCAR_seq/Rescue/rfd_files/588_H3K27me3_T0_r2_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	588	H3K27me3	T0	r2	MCM2-2A-R	Rescue	588_H3K27me3_T0_r2_R1
588_H4K20me0_T0_r1_R1	data/SCAR_seq/Rescue/rfd_files/588_H4K20me0_T0_r1_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	588	H4K20me0	T0	r1	MCM2-2A-R	Rescue	588_H4K20me0_T0_r1_R1
588_H4K20me0_T0_r2_R1	data/SCAR_seq/Rescue/rfd_files/588_H4K20me0_T0_r2_R1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	588	H4K20me0	T0	r2	MCM2-2A-R	Rescue	588_H4K20me0_T0_r2_R1
410_H3K27me3_T0_r1	data/SCAR_seq/Pole4/rfd_files/410_H3K27me3_T0_r1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T0	r1	WT	Pole4	410_H3K27me3_T0_r1
410_H3K27me3_T0_r2	data/SCAR_seq/Pole4/rfd_files/410_H3K27me3_T0_r2.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H3K27me3	T0	r2	WT	Pole4	410_H3K27me3_T0_r2
410_H4K20me0_T0_r1	data/SCAR_seq/Pole4/rfd_files/410_H4K20me0_T0_r1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H4K20me0	T0	r1	WT	Pole4	410_H4K20me0_T0_r1
410_H4K20me0_T0_r2	data/SCAR_seq/Pole4/rfd_files/410_H4K20me0_T0_r2.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	410	H4K20me0	T0	r2	WT	Pole4	410_H4K20me0_T0_r2
551_H3K27me3_T0_r1	data/SCAR_seq/Pole4/rfd_files/551_H3K27me3_T0_r1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	551	H3K27me3	T0	r1	Pole4-2A	Pole4	551_H3K27me3_T0_r1
551_H3K27me3_T0_r2	data/SCAR_seq/Pole4/rfd_files/551_H3K27me3_T0_r2.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	551	H3K27me3	T0	r2	Pole4-2A	Pole4	551_H3K27me3_T0_r2
551_H4K20me0_T0_r1	data/SCAR_seq/Pole4/rfd_files/551_H4K20me0_T0_r1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	551	H4K20me0	T0	r1	Pole4-2A	Pole4	551_H4K20me0_T0_r1
551_H4K20me0_T0_r2	data/SCAR_seq/Pole4/rfd_files/551_H4K20me0_T0_r2.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	551	H4K20me0	T0	r2	Pole4-2A	Pole4	551_H4K20me0_T0_r2
552_H3K27me3_T0_r1	data/SCAR_seq/Pole4/rfd_files/552_H3K27me3_T0_r1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	552	H3K27me3	T0	r1	Pole4-2A	Pole4	552_H3K27me3_T0_r1
552_H3K27me3_T0_r2	data/SCAR_seq/Pole4/rfd_files/552_H3K27me3_T0_r2.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	552	H3K27me3	T0	r2	Pole4-2A	Pole4	552_H3K27me3_T0_r2
552_H4K20me0_T0_r1	data/SCAR_seq/Pole4/rfd_files/552_H4K20me0_T0_r1.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	552	H4K20me0	T0	r1	Pole4-2A	Pole4	552_H4K20me0_T0_r1
552_H4K20me0_T0_r2	data/SCAR_seq/Pole4/rfd_files/552_H4K20me0_T0_r2.srt.nodup.mm10_SE_minusinput_smooth_results_w1000_s30_d30_z1.txt.gz	552	H4K20me0	T0	r2	Pole4-2A	Pole4	552_H4K20me0_T0_r2
410_input_T0_r4_R1	data/SCAR_seq/Input/rfd_files/410_input_T0_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	410	input	T0	r4	WT	Input	410_input_T0_r4_R1
410_input_T0_r5_R1	data/SCAR_seq/Input/rfd_files/410_input_T0_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	410	input	T0	r5	WT	Input	410_input_T0_r5_R1
410_input_T1_r4_R1	data/SCAR_seq/Input/rfd_files/410_input_T1_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	410	input	T1	r4	WT	Input	410_input_T1_r4_R1
410_input_T1_r5_R1	data/SCAR_seq/Input/rfd_files/410_input_T1_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	410	input	T1	r5	WT	Input	410_input_T1_r5_R1
410_input_T3_r4_R1	data/SCAR_seq/Input/rfd_files/410_input_T3_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	410	input	T3	r4	WT	Input	410_input_T3_r4_R1
410_input_T3_r5_R1	data/SCAR_seq/Input/rfd_files/410_input_T3_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	410	input	T3	r5	WT	Input	410_input_T3_r5_R1
410_input_T8_r4_R1	data/SCAR_seq/Input/rfd_files/410_input_T8_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	410	input	T8	r4	WT	Input	410_input_T8_r4_R1
410_input_T8_r5_R1	data/SCAR_seq/Input/rfd_files/410_input_T8_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	410	input	T8	r5	WT	Input	410_input_T8_r5_R1
410_inputX_T0_r1_R1	data/SCAR_seq/Input/rfd_files/410_inputX_T0_r1_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	410	inputX	T0	r1	WT	Input	410_inputX_T0_r1_R1
410_inputX_T0_r2_R1	data/SCAR_seq/Input/rfd_files/410_inputX_T0_r2_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	410	inputX	T0	r2	WT	Input	410_inputX_T0_r2_R1
438_input_T0_r1_R1	data/SCAR_seq/Input/rfd_files/438_input_T0_r1_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	438	input	T0	r1	MCM2-2A	Input	438_input_T0_r1_R1
438_input_T0_r2_R1	data/SCAR_seq/Input/rfd_files/438_input_T0_r2_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	438	input	T0	r2	MCM2-2A	Input	438_input_T0_r2_R1
438_input_T3_r1_R1	data/SCAR_seq/Input/rfd_files/438_input_T3_r1_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	438	input	T3	r1	MCM2-2A	Input	438_input_T3_r1_R1
438_input_T3_r2_R1	data/SCAR_seq/Input/rfd_files/438_input_T3_r2_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	438	input	T3	r2	MCM2-2A	Input	438_input_T3_r2_R1
438_input_T8_r1_R1	data/SCAR_seq/Input/rfd_files/438_input_T8_r1_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	438	input	T8	r1	MCM2-2A	Input	438_input_T8_r1_R1
438_input_T8_r2_R1	data/SCAR_seq/Input/rfd_files/438_input_T8_r2_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	438	input	T8	r2	MCM2-2A	Input	438_input_T8_r2_R1
439_input_T0_r4_R1	data/SCAR_seq/Input/rfd_files/439_input_T0_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	439	input	T0	r4	MCM2-2A	Input	439_input_T0_r4_R1
439_input_T0_r5_R1	data/SCAR_seq/Input/rfd_files/439_input_T0_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	439	input	T0	r5	MCM2-2A	Input	439_input_T0_r5_R1
439_input_T1_r4_R1	data/SCAR_seq/Input/rfd_files/439_input_T1_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	439	input	T1	r4	MCM2-2A	Input	439_input_T1_r4_R1
439_input_T1_r5_R1	data/SCAR_seq/Input/rfd_files/439_input_T1_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	439	input	T1	r5	MCM2-2A	Input	439_input_T1_r5_R1
439_input_T3_r4_R1	data/SCAR_seq/Input/rfd_files/439_input_T3_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	439	input	T3	r4	MCM2-2A	Input	439_input_T3_r4_R1
439_input_T3_r5_R1	data/SCAR_seq/Input/rfd_files/439_input_T3_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	439	input	T3	r5	MCM2-2A	Input	439_input_T3_r5_R1
439_input_T8_r4_R1	data/SCAR_seq/Input/rfd_files/439_input_T8_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	439	input	T8	r4	MCM2-2A	Input	439_input_T8_r4_R1
439_input_T8_r5_R1	data/SCAR_seq/Input/rfd_files/439_input_T8_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	439	input	T8	r5	MCM2-2A	Input	439_input_T8_r5_R1
439_inputX_T0_r1_R1	data/SCAR_seq/Input/rfd_files/439_inputX_T0_r1_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	439	inputX	T0	r1	MCM2-2A	Input	439_inputX_T0_r1_R1
439_inputX_T0_r2_R1	data/SCAR_seq/Input/rfd_files/439_inputX_T0_r2_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	439	inputX	T0	r2	MCM2-2A	Input	439_inputX_T0_r2_R1
442_input_T0_r4_R1	data/SCAR_seq/Input/rfd_files/442_input_T0_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	442	input	T0	r4	MCM2-2A	Input	442_input_T0_r4_R1
442_input_T0_r5_R1	data/SCAR_seq/Input/rfd_files/442_input_T0_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	442	input	T0	r5	MCM2-2A	Input	442_input_T0_r5_R1
442_input_T1_r4_R1	data/SCAR_seq/Input/rfd_files/442_input_T1_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	442	input	T1	r4	MCM2-2A	Input	442_input_T1_r4_R1
442_input_T1_r5_R1	data/SCAR_seq/Input/rfd_files/442_input_T1_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	442	input	T1	r5	MCM2-2A	Input	442_input_T1_r5_R1
442_input_T3_r4_R1	data/SCAR_seq/Input/rfd_files/442_input_T3_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	442	input	T3	r4	MCM2-2A	Input	442_input_T3_r4_R1
442_input_T3_r5_R1	data/SCAR_seq/Input/rfd_files/442_input_T3_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	442	input	T3	r5	MCM2-2A	Input	442_input_T3_r5_R1
442_input_T8_r4_R1	data/SCAR_seq/Input/rfd_files/442_input_T8_r4_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	442	input	T8	r4	MCM2-2A	Input	442_input_T8_r4_R1
442_input_T8_r5_R1	data/SCAR_seq/Input/rfd_files/442_input_T8_r5_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	442	input	T8	r5	MCM2-2A	Input	442_input_T8_r5_R1
442_inputX_T0_r1_R1	data/SCAR_seq/Input/rfd_files/442_inputX_T0_r1_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	442	inputX	T0	r1	MCM2-2A	Input	442_inputX_T0_r1_R1
442_inputX_T0_r2_R1	data/SCAR_seq/Input/rfd_files/442_inputX_T0_r2_R1.nodup.mm10_PE_smooth_results_w1000_s30_d30_z1.txt.gz	442	inputX	T0	r2	MCM2-2A	Input	442_inputX_T0_r2_R1
551_input_T0_r1	data/SCAR_seq/Input/rfd_files/551_input_T0_r1.srt.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	551	input	T0	r1	Pole4-2A	Input	551_input_T0_r1
551_input_T0_r2	data/SCAR_seq/Input/rfd_files/551_input_T0_r2.srt.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	551	input	T0	r2	Pole4-2A	Input	551_input_T0_r2
552_input_T0_r1	data/SCAR_seq/Input/rfd_files/552_input_T0_r1.srt.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	552	input	T0	r1	Pole4-2A	Input	552_input_T0_r1
552_input_T0_r2	data/SCAR_seq/Input/rfd_files/552_input_T0_r2.srt.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	552	input	T0	r2	Pole4-2A	Input	552_input_T0_r2
588_input_T0_r1_R1	data/SCAR_seq/Input/rfd_files/588_input_T0_r1_R1.srt.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	588	input	T0	r1	MCM2-2A-R	Input	588_input_T0_r1_R1
588_input_T0_r2_R1	data/SCAR_seq/Input/rfd_files/588_input_T0_r2_R1.srt.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	588	input	T0	r2	MCM2-2A-R	Input	588_input_T0_r2_R1
410_inputs_T0_pr	data/SCAR_seq/InputPooled/rfd_files/410_inputs_T0_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	410	inputs	T0	pr	WT	InputPooled	410_inputs_T0_pr
410_inputs_T1_pr	data/SCAR_seq/InputPooled/rfd_files/410_inputs_T1_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	410	inputs	T1	pr	WT	InputPooled	410_inputs_T1_pr
410_inputs_T3_pr	data/SCAR_seq/InputPooled/rfd_files/410_inputs_T3_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	410	inputs	T3	pr	WT	InputPooled	410_inputs_T3_pr
410_inputs_T8_pr	data/SCAR_seq/InputPooled/rfd_files/410_inputs_T8_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	410	inputs	T8	pr	WT	InputPooled	410_inputs_T8_pr
438_inputs_T0_pr	data/SCAR_seq/InputPooled/rfd_files/438_inputs_T0_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	438	inputs	T0	pr	MCM2-2A	InputPooled	438_inputs_T0_pr
438_inputs_T3_pr	data/SCAR_seq/InputPooled/rfd_files/438_inputs_T3_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	438	inputs	T3	pr	MCM2-2A	InputPooled	438_inputs_T3_pr
438_inputs_T8_pr	data/SCAR_seq/InputPooled/rfd_files/438_inputs_T8_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	438	inputs	T8	pr	MCM2-2A	InputPooled	438_inputs_T8_pr
439_inputs_T0_pr	data/SCAR_seq/InputPooled/rfd_files/439_inputs_T0_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	439	inputs	T0	pr	MCM2-2A	InputPooled	439_inputs_T0_pr
439_inputs_T1_pr	data/SCAR_seq/InputPooled/rfd_files/439_inputs_T1_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	439	inputs	T1	pr	MCM2-2A	InputPooled	439_inputs_T1_pr
439_inputs_T3_pr	data/SCAR_seq/InputPooled/rfd_files/439_inputs_T3_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	439	inputs	T3	pr	MCM2-2A	InputPooled	439_inputs_T3_pr
439_inputs_T8_pr	data/SCAR_seq/InputPooled/rfd_files/439_inputs_T8_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	439	inputs	T8	pr	MCM2-2A	InputPooled	439_inputs_T8_pr
442_inputs_T0_pr	data/SCAR_seq/InputPooled/rfd_files/442_inputs_T0_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	442	inputs	T0	pr	MCM2-2A	InputPooled	442_inputs_T0_pr
442_inputs_T1_pr	data/SCAR_seq/InputPooled/rfd_files/442_inputs_T1_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	442	inputs	T1	pr	MCM2-2A	InputPooled	442_inputs_T1_pr
442_inputs_T3_pr	data/SCAR_seq/InputPooled/rfd_files/442_inputs_T3_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	442	inputs	T3	pr	MCM2-2A	InputPooled	442_inputs_T3_pr
442_inputs_T8_pr	data/SCAR_seq/InputPooled/rfd_files/442_inputs_T8_pr.nodup.mm10_SE_smooth_results_w1000_s30_d30_z1.txt.gz	442	inputs	T8	pr	MCM2-2A	InputPooled	442_inputs_T8_pr
